Date,Day_Name,Cups_Sold,Sales_Rs,Public_Holiday
2024-10-31,Thursday,137,23020,No
2024-11-01,Friday,43,6830,Yes
2024-11-02,Saturday,46,7470,No
2024-11-03,Sunday,39,6400,No
2024-11-04,Monday,128,21440,No
2024-11-05,Tuesday,158,27310,No
2024-11-06,Wednesday,183,28690,No
2024-11-07,Thursday,151,24070,No
2024-11-08,Friday,131,20040,No
2024-11-09,Saturday,61,9260,No
2024-11-10,Sunday,43,6660,No
2024-11-11,Monday,120,20800,No
2024-11-12,Tuesday,148,25260,No
2024-11-13,Wednesday,146,23880,No
2024-11-14,Thursday,134,22460,No
2024-11-15,Friday,115,19500,No
2024-11-16,Saturday,52,8540,No
2024-11-17,Sunday,38,6160,No
2024-11-18,Monday,114,18530,No
2024-11-19,Tuesday,142,23440,No
2024-11-20,Wednesday,147,26180,No
2024-11-21,Thursday,147,23940,No
2024-11-22,Friday,100,17510,No
2024-11-23,Saturday,,,No
2024-11-24,Sunday,42,6650,No
2024-11-25,Monday,117,19410,No
2024-11-26,Tuesday,145,23200,No
2024-11-27,Wednesday,163,25210,No
2024-11-28,Thursday,132,21150,No
2024-11-29,Friday,116,18280,No
2024-11-30,Saturday,51,8400,No
2024-12-01,Sunday,44,7150,No
2024-12-02,Monday,118,19270,No
2024-12-03,Tuesday,149,24000,No
2024-12-04,Wednesday,151,24150,No
2024-12-05,Thursday,,,No
2024-12-06,Friday,96,16280,No
2024-12-07,Saturday,56,8840,No
2024-12-08,Sunday,38,6060,No
2024-12-09,Monday,116,18430,No
2024-12-10,Tuesday,159,25720,No
2024-12-11,Wednesday,160,27020,No
2024-12-12,Thursday,144,24310,No
2024-12-13,Friday,115,18830,No
2024-12-14,Saturday,47,7790,No
2024-12-15,Sunday,37,6300,No
2024-12-16,Monday,114,18760,No
2024-12-17,Tuesday,131,22000,No
2024-12-18,Wednesday,170,26490,No
2024-12-19,Thursday,148,22700,No
2024-12-20,Friday,117,18390,No
2024-12-21,Saturday,50,7810,No
2024-12-22,Sunday,38,6400,No
2024-12-23,Monday,112,19600,No
2024-12-24,Tuesday,150,23300,No
2024-12-25,Wednesday,53,9110,Yes
2024-12-26,Thursday,120,20970,No
2024-12-27,Friday,110,17760,No
2024-12-28,Saturday,49,7770,No
2024-12-29,Sunday,43,6540,No
2024-12-30,Monday,116,19180,No
2024-12-31,Tuesday,150,23900,No
2025-01-01,Wednesday,157,25490,No
2025-01-02,Thursday,142,23530,No
2025-01-03,Friday,130,20390,No
2025-01-04,Saturday,52,8340,No
2025-01-05,Sunday,39,6190,No
2025-01-06,Monday,124,19810,No
2025-01-07,Tuesday,154,24450,No
2025-01-08,Wednesday,153,26010,No
2025-01-09,Thursday,151,23290,No
2025-01-10,Friday,92,15290,No
2025-01-11,Saturday,56,8660,No
2025-01-12,Sunday,35,6140,No
2025-01-13,Monday,109,17840,No
2025-01-14,Tuesday,171,25640,No
2025-01-15,Wednesday,186,27630,No
2025-01-16,Thursday,175,24680,No
2025-01-17,Friday,110,18250,No
2025-01-18,Saturday,59,9050,No
2025-01-19,Sunday,38,6170,No
2025-01-20,Monday,,,No
2025-01-21,Tuesday,138,23610,No
2025-01-22,Wednesday,164,26990,No
2025-01-23,Thursday,146,22930,No
2025-01-24,Friday,101,16500,No
2025-01-25,Saturday,49,8160,No
2025-01-26,Sunday,37,6120,Yes
2025-01-27,Monday,115,18080,No
2025-01-28,Tuesday,132,22240,No
2025-01-29,Wednesday,138,23300,No
2025-01-30,Thursday,134,21820,No
2025-01-31,Friday,113,17040,No
2025-02-01,Saturday,,,No
2025-02-02,Sunday,38,6110,No
2025-02-03,Monday,106,17710,No
2025-02-04,Tuesday,124,21200,No
2025-02-05,Wednesday,155,25200,No
2025-02-06,Thursday,139,22120,No
2025-02-07,Friday,105,16380,No
2025-02-08,Saturday,50,8330,No
2025-02-09,Sunday,38,6320,No
2025-02-10,Monday,112,17370,No
2025-02-11,Tuesday,157,27110,No
2025-02-12,Wednesday,151,24600,No
2025-02-13,Thursday,130,23030,No
2025-02-14,Friday,100,16490,No
2025-02-15,Saturday,46,7560,No
2025-02-16,Sunday,35,5920,No
2025-02-17,Monday,120,18870,No
2025-02-18,Tuesday,153,24290,No
2025-02-19,Wednesday,143,24400,No
2025-02-20,Thursday,163,26420,No
2025-02-21,Friday,99,17480,No
2025-02-22,Saturday,50,7620,No
2025-02-23,Sunday,36,6110,No
2025-02-24,Monday,110,17270,No
2025-02-25,Tuesday,159,24670,No
2025-02-26,Wednesday,151,24620,No
2025-02-27,Thursday,153,23950,No
2025-02-28,Friday,101,17200,No
2025-03-01,Saturday,51,7930,No
2025-03-02,Sunday,38,5920,No
2025-03-03,Monday,118,18680,No
2025-03-04,Tuesday,159,26480,No
2025-03-05,Wednesday,153,25940,No
2025-03-06,Thursday,141,22820,No
2025-03-07,Friday,96,16010,No
2025-03-08,Saturday,47,7190,No
2025-03-09,Sunday,37,6020,No
2025-03-10,Monday,109,18860,No
2025-03-11,Tuesday,172,26230,No
2025-03-12,Wednesday,148,24570,No
2025-03-13,Thursday,123,20280,No
2025-03-14,Friday,34,5630,Yes
2025-03-15,Saturday,58,8870,No
2025-03-16,Sunday,38,6560,No
2025-03-17,Monday,107,18180,No
2025-03-18,Tuesday,130,23210,No
2025-03-19,Wednesday,173,27250,No
2025-03-20,Thursday,137,22240,No
2025-03-21,Friday,117,20160,No
2025-03-22,Saturday,47,8520,No
2025-03-23,Sunday,33,5620,No
2025-03-24,Monday,110,18260,No
2025-03-25,Tuesday,148,22580,No
2025-03-26,Wednesday,145,23210,No
2025-03-27,Thursday,150,24340,No
2025-03-28,Friday,118,17790,No
2025-03-29,Saturday,52,8020,No
2025-03-30,Sunday,34,5440,Yes
2025-03-31,Monday,111,17770,No
2025-04-01,Tuesday,136,22450,No
2025-04-02,Wednesday,164,24420,No
2025-04-03,Thursday,173,25910,No
2025-04-04,Friday,116,17640,No
2025-04-05,Saturday,49,8020,No
2025-04-06,Sunday,37,6490,No
2025-04-07,Monday,119,19640,No
2025-04-08,Tuesday,,,No
2025-04-09,Wednesday,165,26460,No
2025-04-10,Thursday,135,21400,No
2025-04-11,Friday,88,16490,No
2025-04-12,Saturday,56,8630,No
2025-04-13,Sunday,40,6350,No
2025-04-14,Monday,111,17890,No
2025-04-15,Tuesday,179,27970,No
2025-04-16,Wednesday,169,27140,No
2025-04-17,Thursday,161,24780,No
2025-04-18,Friday,37,6410,Yes
2025-04-19,Saturday,55,8480,No
2025-04-20,Sunday,42,6550,No
2025-04-21,Monday,118,19000,No
2025-04-22,Tuesday,171,27360,No
2025-04-23,Wednesday,147,23570,No
2025-04-24,Thursday,146,24000,No
2025-04-25,Friday,115,18710,No
2025-04-26,Saturday,56,8790,No
2025-04-27,Sunday,38,6350,No
2025-04-28,Monday,128,21250,No
2025-04-29,Tuesday,148,24260,No
2025-04-30,Wednesday,175,28990,No
2025-05-01,Thursday,56,8670,Yes
2025-05-02,Friday,110,16880,No
2025-05-03,Saturday,53,9150,No
2025-05-04,Sunday,43,7100,No
2025-05-05,Monday,123,19350,No
2025-05-06,Tuesday,157,26000,No
2025-05-07,Wednesday,162,25700,No
2025-05-08,Thursday,122,21450,No
2025-05-09,Friday,107,18870,No
2025-05-10,Saturday,49,8060,No
2025-05-11,Sunday,42,6890,No
2025-05-12,Monday,138,20900,No
2025-05-13,Tuesday,164,26590,No
2025-05-14,Wednesday,202,30140,No
2025-05-15,Thursday,145,23800,No
2025-05-16,Friday,128,19980,No
2025-05-17,Saturday,59,8980,No
2025-05-18,Sunday,43,6930,No
2025-05-19,Monday,136,20700,No
2025-05-20,Tuesday,171,27060,No
2025-05-21,Wednesday,175,27260,No
2025-05-22,Thursday,138,22930,No
2025-05-23,Friday,124,20230,No
2025-05-24,Saturday,62,9760,No
2025-05-25,Sunday,34,5740,No
2025-05-26,Monday,131,20930,No
2025-05-27,Tuesday,166,28240,No
2025-05-28,Wednesday,148,25650,No
2025-05-29,Thursday,137,21610,No
2025-05-30,Friday,123,20630,No
2025-05-31,Saturday,61,9900,No
2025-06-01,Sunday,41,6860,No
2025-06-02,Monday,131,21720,No
2025-06-03,Tuesday,164,26400,No
2025-06-04,Wednesday,183,27780,No
2025-06-05,Thursday,188,28150,No
2025-06-06,Friday,141,21080,No
2025-06-07,Saturday,58,9560,No
2025-06-08,Sunday,42,6380,No
2025-06-09,Monday,141,23000,No
2025-06-10,Tuesday,171,26120,No
2025-06-11,Wednesday,172,29240,No
2025-06-12,Thursday,158,26900,No
2025-06-13,Friday,118,19570,No
2025-06-14,Saturday,62,9640,No
2025-06-15,Sunday,40,6760,No
2025-06-16,Monday,125,20440,No
2025-06-17,Tuesday,164,26860,No
2025-06-18,Wednesday,185,29940,No
2025-06-19,Thursday,153,25550,No
2025-06-20,Friday,137,20990,No
2025-06-21,Saturday,70,10680,No
2025-06-22,Sunday,52,7950,No
2025-06-23,Monday,141,23120,No
2025-06-24,Tuesday,165,27190,No
2025-06-25,Wednesday,177,28200,No
2025-06-26,Thursday,161,26520,No
2025-06-27,Friday,125,19340,No
2025-06-28,Saturday,53,9100,No
2025-06-29,Sunday,48,7970,No
2025-06-30,Monday,141,21700,No
2025-07-01,Tuesday,162,27300,No
2025-07-02,Wednesday,166,28890,No
2025-07-03,Thursday,176,30080,No
2025-07-04,Friday,121,19990,No
2025-07-05,Saturday,62,9770,No
2025-07-06,Sunday,47,7360,No
2025-07-07,Monday,157,24570,No
2025-07-08,Tuesday,180,31470,No
2025-07-09,Wednesday,150,26970,No
2025-07-10,Thursday,175,26340,No
2025-07-11,Friday,116,20300,No
2025-07-12,Saturday,67,10870,No
2025-07-13,Sunday,46,7900,No
2025-07-14,Monday,145,24940,No
2025-07-15,Tuesday,174,27540,No
2025-07-16,Wednesday,185,28830,No
2025-07-17,Thursday,153,24990,No
2025-07-18,Friday,118,19950,No
2025-07-19,Saturday,53,9130,No
2025-07-20,Sunday,45,7450,No
2025-07-21,Monday,150,24100,No
2025-07-22,Tuesday,194,29880,No
2025-07-23,Wednesday,177,28260,No
2025-07-24,Thursday,186,30500,No
2025-07-25,Friday,123,19890,No
2025-07-26,Saturday,62,10360,No
2025-07-27,Sunday,49,7810,No
2025-07-28,Monday,137,20690,No
2025-07-29,Tuesday,195,30280,No
2025-07-30,Wednesday,169,26590,No
2025-07-31,Thursday,186,31790,No
2025-08-01,Friday,143,22850,No
2025-08-02,Saturday,64,10410,No
2025-08-03,Sunday,50,8250,No
2025-08-04,Monday,153,24510,No
2025-08-05,Tuesday,200,32610,No
2025-08-06,Wednesday,168,29140,No
2025-08-07,Thursday,177,28440,No
2025-08-08,Friday,130,20440,No
2025-08-09,Saturday,69,10910,No
2025-08-10,Sunday,49,7820,No
2025-08-11,Monday,146,23880,No
2025-08-12,Tuesday,206,33620,No
2025-08-13,Wednesday,197,33030,No
2025-08-14,Thursday,172,27790,No
2025-08-15,Friday,51,8040,Yes
2025-08-16,Saturday,65,10320,No
2025-08-17,Sunday,43,7170,No
2025-08-18,Monday,139,22730,No
2025-08-19,Tuesday,191,31760,No
2025-08-20,Wednesday,207,33060,No
2025-08-21,Thursday,200,30730,No
2025-08-22,Friday,136,22060,No
2025-08-23,Saturday,65,10880,No
2025-08-24,Sunday,47,7970,No
2025-08-25,Monday,143,24040,No
2025-08-26,Tuesday,204,30910,No
2025-08-27,Wednesday,68,11330,Yes
2025-08-28,Thursday,180,30090,No
2025-08-29,Friday,153,22700,No
2025-08-30,Saturday,76,11150,No
2025-08-31,Sunday,55,7760,No
2025-09-01,Monday,174,25640,No
2025-09-02,Tuesday,171,28070,No
2025-09-03,Wednesday,183,30280,No
2025-09-04,Thursday,166,27650,No
2025-09-05,Friday,138,22570,No
2025-09-06,Saturday,61,10210,No
2025-09-07,Sunday,47,7500,No
2025-09-08,Monday,170,25910,No
2025-09-09,Tuesday,185,29030,No
2025-09-10,Wednesday,183,30500,No
2025-09-11,Thursday,179,29660,No
2025-09-12,Friday,145,24010,No
2025-09-13,Saturday,77,11300,No
2025-09-14,Sunday,45,7570,No
2025-09-15,Monday,164,24640,No
2025-09-16,Tuesday,205,32970,No
2025-09-17,Wednesday,214,32140,No
2025-09-18,Thursday,194,31040,No
2025-09-19,Friday,133,21580,No
2025-09-20,Saturday,67,10330,No
2025-09-21,Sunday,44,7490,No
2025-09-22,Monday,148,23720,No
2025-09-23,Tuesday,222,33090,No
2025-09-24,Wednesday,179,27330,No
2025-09-25,Thursday,182,28840,No
2025-09-26,Friday,137,23840,No
2025-09-27,Saturday,69,11620,No
2025-09-28,Sunday,,,No
2025-09-29,Monday,165,27120,No
2025-09-30,Tuesday,204,31420,No
2025-10-01,Wednesday,187,32540,No
2025-10-02,Thursday,66,11400,Yes
2025-10-03,Friday,135,22420,No
2025-10-04,Saturday,70,11410,No
2025-10-05,Sunday,45,7540,No
2025-10-06,Monday,151,23370,No
2025-10-07,Tuesday,181,29890,No
2025-10-08,Wednesday,210,33130,No
2025-10-09,Thursday,183,29150,No
2025-10-10,Friday,128,20670,No
2025-10-11,Saturday,67,10460,No
2025-10-12,Sunday,50,8080,No
2025-10-13,Monday,130,22400,No
2025-10-14,Tuesday,171,28600,No
2025-10-15,Wednesday,197,32210,No
2025-10-16,Thursday,158,27970,No
2025-10-17,Friday,123,20350,No
2025-10-18,Saturday,62,9700,No
2025-10-19,Sunday,47,7950,No
2025-10-20,Monday,47,7740,Yes
2025-10-21,Tuesday,168,28470,No
2025-10-22,Wednesday,179,29610,No
2025-10-23,Thursday,160,25790,No
2025-10-24,Friday,124,21840,No
2025-10-25,Saturday,76,11940,No
2025-10-26,Sunday,56,8560,No
2025-10-27,Monday,135,23700,No
2025-10-28,Tuesday,166,28280,No
2025-10-29,Wednesday,211,31570,No
2025-10-30,Thursday,167,27460,No
2025-10-31,Friday,132,20280,No
2025-11-01,Saturday,70,11140,Yes
2025-11-02,Sunday,44,7200,No
2025-11-03,Monday,145,24230,No
2025-11-04,Tuesday,216,32370,No
2025-11-05,Wednesday,194,30370,No
2025-11-06,Thursday,163,28170,No
2025-11-07,Friday,133,20940,No
2025-11-08,Saturday,66,11420,No
2025-11-09,Sunday,42,6830,No
2025-11-10,Monday,132,21240,No
2025-11-11,Tuesday,174,28840,No
2025-11-12,Wednesday,193,30200,No
2025-11-13,Thursday,156,24610,No
2025-11-14,Friday,133,21930,No
2025-11-15,Saturday,71,11610,No
